artist,album,num_songs,lexical_complexity_mean,lexical_complexity_max,lexical_complexity_balanced,rhyme_complexity_mean,rhyme_complexity_max,rhyme_complexity_balanced,semantic_depth_mean,semantic_depth_max,semantic_depth_balanced,narrative_structure_mean,narrative_structure_max,narrative_structure_balanced,emotional_expressiveness_mean,emotional_expressiveness_max,emotional_expressiveness_balanced,composite_score_mean,composite_score_max,composite_score_balanced
Lil Wayne,No Ceilings 3,7,0.3672255601826926,0.4416732620188348,0.3970046409171495,0.1716074950695923,0.2262949416777542,0.1934824737128571,0.7270495333870813,0.7918770321127216,0.7529805328773375,0.6465329478689327,0.6768023089798227,0.6586406923132887,0.5407043779420327,0.7362559629212831,0.618925011933733,0.4668777102500993,0.5138232488253497,0.4856559256801994
Drake,What a Time To Be Alive,10,0.2993056197544505,0.3814383914803367,0.332158728444805,0.4462505930277326,0.7816074015981798,0.5803933164559115,0.5908204995264456,0.730933253435409,0.6468656010900309,0.6770948960999241,0.7409987715572433,0.7026564462828517,0.3197798980448129,0.6869532979435463,0.4666492580043063,0.4551080861370636,0.5688596021301495,0.500608692534298
Kanye West,The Life of Pablo,20,0.3764772417313194,0.5226618506810347,0.4349510853112055,0.4333964550287337,0.7983771264753623,0.5793887236073851,0.5895126808526516,0.7864023611336707,0.6682685529650592,0.641487463897698,0.7644696430423128,0.690680335555544,0.529791255151338,0.8283856494100379,0.6492290128548179,0.5037284688889,0.662635361751496,0.5672912260339384
Dave,Game Over,7,0.2782186875248589,0.3320089946878261,0.2997348103900458,0.1938182636337901,0.3433269448271855,0.2536217361111483,0.6835109379149263,0.9287852636965256,0.781620668227566,0.6977327364357968,0.7194552087980451,0.7064217253806961,0.4643215248900659,1.0,0.6785929149340395,0.4383247064397872,0.6393108686304442,0.51871917131605
Kendrick Lamar,Overly Dedicated,13,0.3796180084837354,0.5781512252648784,0.4590312951961925,0.3251270892426043,0.7998966636981097,0.5150349190248065,0.7035438508331521,0.8859793071907694,0.7765180333761991,0.6589998101647411,0.7235425633929743,0.6848169114560343,0.5654365175223146,0.8141300143204703,0.6649139162415769,0.5098514192032026,0.6247874341282873,0.5558258251732365
Kanye West,Watch the Throne,16,0.4117113825189658,0.5519543804154539,0.467808581677561,0.3566769025187463,0.7779520937798587,0.5251869790231913,0.6941287314074136,0.8880963550360658,0.7717157808588745,0.6452513391984527,0.698556082939543,0.6665732366948889,0.449489876700561,0.7355576900402505,0.5639170020364368,0.4970229246348425,0.6280372573617707,0.5494286577256138
Drake,Care Package,14,0.3383979916358368,0.5319569830284827,0.4158215881928951,0.3722358401422646,0.774739124889769,0.5332371540412664,0.6864405855305236,0.8693695246783985,0.7596121611896736,0.6766414858556109,0.7196597872704293,0.6938488064215382,0.567990546352618,0.8370549568033021,0.6756163105328916,0.5131210076177035,0.5876042963897896,0.542914323126538
Lil Wayne,Sorry 4 the Wait 2,17,0.3616077537081386,0.4446128292213298,0.3948097839134151,0.2842979356147403,0.772884854106888,0.4797327030115994,0.6649556361542865,0.7735547342575424,0.7083952753955889,0.6538746598461385,0.7075675668779788,0.6753518226588746,0.5587302159092489,0.8751677224961,0.6853052185439894,0.4862144040349406,0.6894586792261201,0.5675121141114124
Dave,Money Can’t Buy Happiness,7,0.3241307346656237,0.5385797723976349,0.4099103497584282,0.3589813142164318,0.550795120502154,0.4357068367307206,0.473886920243178,0.6675677541035888,0.5513592537873424,0.6530864574288424,0.6795640115027395,0.6636774790584012,0.2392146031546871,0.6147152737347678,0.3894148713867194,0.3951547487811321,0.5204659578867746,0.445279232423389
Kendrick Lamar,untitled unmastered.,8,0.4306966441050446,0.525740863747254,0.4687143319619284,0.4220160367806049,0.7916050868439607,0.5698516568059473,0.7334354684315825,0.8957557589264838,0.798363584629543,0.6487934102933143,0.6706132019169346,0.6575213269427624,0.4877337428770209,0.7790443834799102,0.6042579991181767,0.5331961918218779,0.6831276315169875,0.5931687676999218
Drake,100 GIGS,6,0.3386775866215548,0.4352550877323374,0.3773085870658678,0.529423973196048,0.8129081133944634,0.6428176292754142,0.5598153282010144,0.7390406190993317,0.6315054445603414,0.6629556020166999,0.692266188004892,0.6746798364119768,0.2308173959893828,0.5339742511464243,0.3520801380521994,0.4576613957639074,0.6246538680564615,0.5244583846809291
Dave,We’re All Alone In This Together,12,0.3539510054387434,0.498955537933855,0.4119528184367881,0.312142407458169,0.8144218839018238,0.513054198035631,0.7933766054642719,0.9279545758974178,0.8472077936375302,0.6603864770078077,0.6849595922827156,0.6702157231177709,0.6160149842796566,0.8423651808727941,0.7065550629169116,0.5297620924522478,0.6576522498635998,0.5809181554167886
Drake,Comeback Season,17,0.3588453697010423,0.4914985804394028,0.4119066539963865,0.2332035582311097,0.5702010455840056,0.368002553172268,0.6950176374753791,0.8469913027958604,0.7558071036035716,0.6701896872437054,0.7265169310959145,0.692720584784589,0.4015454325152182,0.7435665038559646,0.5383538610515167,0.4499110305826612,0.5377762834998043,0.4850571317495185
Kanye West,Graduation,14,0.3382832428713806,0.491108773992898,0.3994134553199876,0.5399291235182708,0.8113325786366944,0.6484905055656403,0.620547435010051,0.7595648834314015,0.6761544143785913,0.6667542584573691,0.690377314056854,0.6762034806971631,0.3470034770113162,0.7614113383066456,0.512766621529448,0.4961622506267226,0.6474207147398511,0.556665636271974
Drake,Views,19,0.2994879827863074,0.4393351747767636,0.3554268595824899,0.4283268830149911,0.7324874380589933,0.5499911050325921,0.5934692249206955,0.7873333876480599,0.6710148900116413,0.6751583302803695,0.7259648582063815,0.6954809414507743,0.4156187389044826,0.7800277822899994,0.5613823562586893,0.4700706596181003,0.6036724397484426,0.5235113716702373
Kanye West,GOOD Fridays,11,0.3470929450370431,0.4633163771351875,0.3935823178763009,0.4054069594787922,0.8051983537407995,0.5653235171835952,0.7302129940786716,0.8169669828571277,0.764914589590054,0.6637916541422034,0.6916082680508632,0.6749182997056673,0.4886452642506697,0.7236934272730531,0.5826645294596231,0.5141107286643055,0.6236830620359833,0.5579396620129766
